target	protocol	seed	depth	trials	?	!	?+!	complete	merged	incomplete	generated	completed	equivalent	time_ms
D1_80	BACK	51	3	14372	1087	1471	2558	67	68	0	135	true	true	32.546
D1_160	RESET	42	4	485904	13122	0	13122	124	125	0	249	true	true	1413.342
D1_160	RESET	43	4	534125	13129	0	13129	124	125	0	249	true	true	1561.610
D1_160	RESET	44	4	679688	13700	0	13700	124	125	0	249	true	true	1978.671
D1_160	RESET	45	4	539312	13779	0	13779	124	125	0	249	true	true	1540.594
D1_160	RESET	46	4	580863	13212	0	13212	124	125	0	249	true	true	1725.498
D1_160	RESET	47	4	537453	13722	0	13722	124	125	0	249	true	true	3295.883
D1_160	RESET	48	4	434258	13475	0	13475	124	125	0	249	true	true	1493.089
D1_160	RESET	49	4	477176	13300	0	13300	124	125	0	249	true	true	2139.452
D1_160	RESET	50	4	514679	13556	0	13556	124	125	0	249	true	true	1483.600
D1_160	RESET	51	4	480334	13094	0	13094	124	125	0	249	true	true	1368.864
D1_160	BACK	42	4	24639	3999	6478	10477	124	125	0	249	true	true	91.390
D1_160	BACK	43	4	28611	3999	6583	10582	124	125	0	249	true	true	98.485
D1_160	BACK	44	4	23897	3999	6354	10353	124	125	0	249	true	true	85.508
D1_160	BACK	45	4	23811	3999	6463	10462	124	125	0	249	true	true	87.268
D1_160	BACK	46	4	29193	3999	6381	10380	124	125	0	249	true	true	97.876
D1_160	BACK	47	4	26605	3999	6478	10477	124	125	0	249	true	true	95.495
D1_160	BACK	48	4	25919	3999	6510	10509	124	125	0	249	true	true	90.413
D1_160	BACK	49	4	24139	3999	6464	10463	124	125	0	249	true	true	87.624
D1_160	BACK	50	4	25381	3999	6598	10597	124	125	0	249	true	true	90.620
D1_160	BACK	51	4	23377	3999	6285	10284	124	125	0	249	true	true	87.880
D1_320	RESET	42	4	1560808	28138	0	28138	261	262	0	523	true	true	9541.168
D1_320	RESET	43	4	1488260	28495	0	28495	261	262	0	523	true	true	8327.791
D1_320	RESET	44	4	1745901	28480	0	28480	261	262	0	523	true	true	10214.282
D1_320	RESET	45	4	1330200	28139	0	28139	261	262	0	523	true	true	7270.911
D1_320	RESET	46	4	1294102	28385	0	28385	261	262	0	523	true	true	7015.114
D1_320	RESET	47	4	1637251	28777	0	28777	261	262	0	523	true	true	9058.863
D1_320	RESET	48	4	1553406	27398	0	27398	261	262	0	523	true	true	8620.537
D1_320	RESET	49	4	1587999	28544	0	28544	261	262	0	523	true	true	9081.026
D1_320	RESET	50	4	1536346	28985	0	28985	261	262	0	523	true	true	8442.880
D1_320	RESET	51	4	1457023	28350	0	28350	261	262	0	523	true	true	8064.874
D1_320	BACK	42	4	60183	8383	13559	21942	261	262	0	523	true	true	351.443
D1_320	BACK	43	4	71236	8383	13483	21866	261	262	0	523	true	true	399.394
D1_320	BACK	44	4	80035	8383	13444	21827	261	262	0	523	true	true	438.272
D1_320	BACK	45	4	77326	8383	13498	21881	261	262	0	523	true	true	425.874
D1_320	BACK	46	4	68815	8383	13603	21986	261	262	0	523	true	true	392.753
D1_320	BACK	47	4	63736	8383	13589	21972	261	262	0	523	true	true	356.756
D1_320	BACK	48	4	94857	8383	13746	22129	261	262	0	523	true	true	1583.561
D1_320	BACK	49	4	67408	8383	13651	22034	261	262	0	523	true	true	670.901
D1_320	BACK	50	4	66416	8383	13485	21868	261	262	0	523	true	true	455.941
D1_320	BACK	51	4	57848	8383	13663	22046	261	262	0	523	true	true	335.348
D1_640	RESET	42	4	8437784	56753	0	56753	525	526	0	1051	true	true	96036.794
D1_640	RESET	43	4	9279519	57815	0	57815	525	526	0	1051	true	true	82108.437
D1_640	RESET	44	4	8788260	56488	0	56488	525	526	0	1051	true	true	60826.215
D1_640	RESET	45	4	7420652	56554	0	56554	525	526	0	1051	true	true	51006.115
D1_640	RESET	46	4	6885715	55560	0	55560	525	526	0	1051	true	true	47426.544
D1_640	RESET	47	4	8489689	56955	0	56955	525	526	0	1051	true	true	58820.581
D1_640	RESET	48	4	7581411	57397	0	57397	525	526	0	1051	true	true	52885.555
D1_640	RESET	49	4	8124429	56762	0	56762	525	526	0	1051	true	true	56522.070
D1_640	RESET	50	4	9788993	57537	0	57537	525	526	0	1051	true	true	68851.287
D1_640	RESET	51	4	9339463	56755	0	56755	525	526	0	1051	true	true	65457.545
D1_640	BACK	42	4	244970	16831	27502	44333	525	526	0	1051	true	true	1469.928
D1_640	BACK	43	4	221775	16831	27205	44036	525	526	0	1051	true	true	1350.399
D1_640	BACK	44	4	249443	16831	27248	44079	525	526	0	1051	true	true	1481.627
D1_640	BACK	45	4	195122	16831	27257	44088	525	526	0	1051	true	true	1185.477
